plot_id;tree_id;measure_id;dbh_cm;height_h;drainage_texture_class;potential_vegetation;climatic_domain;ratio_dbh_meandbh;precipitation;temperature;basal_area_m2ha;nb_trees_ha;height_minus_1_3;log_dbh;log_dbh2
602400102;8;1;15.4;15.4;2;FE3;3OUEST;0.7901337313;1026.6962;3.6803;17.901168004;600;14.1;2.7972813348;7.8247828662
602500102;9;1;25;16.9;2;MS1;3OUEST;0.9955007026;1068.4496;3.3979;16.097933091;325;15.6;3.258096538;10.615193051
602500202;18;1;28.1;19;2;FE3;3OUEST;1.2316769352;1032.2963;4.173;39.857817965;975;17.7;3.3707381742;11.361875839
602500302;5;1;9.5;13.4;2;FE3;3OUEST;0.2638314874;1028.3148;4.0178;50.915949216;500;12.1;2.3513752572;5.5289656
602500601;1;1;13.5;15.9;2;FE3;3OUEST;0.5194230528;1079.6296;3.1088;33.158509076;625;14.6;2.6741486494;7.1510709992
602500601;11;1;26.6;22.5;2;FE3;3OUEST;1.023455793;1079.6296;3.1088;33.158509076;625;21.2;3.3178157727;11.007901502
602500601;17;1;16.6;17.7;2;FE3;3OUEST;0.6386979761;1079.6296;3.1088;33.158509076;625;16.4;2.867898902;8.2248441123
602500601;23;1;19.6;18;2;FE3;3OUEST;0.7541253211;1079.6296;3.1088;33.158509076;625;16.7;3.0252910758;9.1523860933
602500601;6;1;10.2;13;2;FE3;3OUEST;0.3924529732;1079.6296;3.1088;33.158509076;625;11.7;2.4159137783;5.8366393842
602500902;1;1;15.8;16.3;2;FE2;3OUEST;0.795118567;1040.6307;4.136;31.788067821;1025;15;2.8213788864;7.9601788207
602500902;2;1;16;12.2;2;FE2;3OUEST;0.805183359;1040.6307;4.136;31.788067821;1025;10.9;2.8332133441;8.0270978529
602500902;5;1;20.5;18.6;2;FE2;3OUEST;1.0316411787;1040.6307;4.136;31.788067821;1025;17.3;3.0680529351;9.4129488128
602700904;18;1;17.9;19;2;FE3;3OUEST;0.9170244014;971.0962;3.3443;23.94;800;17.7;2.9391619221;8.6386728041
602702301;11;1;29.4;23.5;2;FE2;3OUEST;1.2404031566;970.2735;3.5526;20.958125;475;22.2;3.4144426084;11.658418326
602703302;12;1;34;21.5;2;FE2;3OUEST;1.3863836551;970.2923;3.6901;22.4375;475;20.2;3.5553480615;12.640499838
602703804;19;1;19.4;18.6;2;RS1;2OUEST;1.2116824808;955.8587;3.6753;15.1;750;17.3;3.0155349009;9.0934507382
602704402;19;1;39.8;19;1;FE2;2OUEST;2.3067972531;958.7529;3.3695;22.210625;950;17.7;3.7086820814;13.754322781
602704701;20;1;19.4;17.7;2;FE6;2OUEST;0.9218379188;958.1677;3.5205;34.784375;1000;16.4;3.0155349009;9.0934507382
602704803;21;1;14.8;17.4;2;FE5;2OUEST;0.8869748935;954.123;3.665;22.41375;1025;16.1;2.76000994;7.6176548691
602705501;18;1;26;17.6;2;FE5;2OUEST;1.5354744835;912.2709;4.2993;19.14125;850;16.3;3.295836866;10.862540647
602705502;16;1;23.6;20.3;2;FE2;2OUEST;1.0216721302;913.2152;4.275;28.2875;675;19;3.2027464429;10.257584778
602705602;17;1;31.5;20.7;1;FE2;2OUEST;1.4673351771;912.5036;4.3006;28.95625;800;19.4;3.4812400893;12.11903256
602705801;18;1;22;20;2;MJ1;2OUEST;0.9850708086;953.1997;3.9157;31.339375;800;18.7;3.1354942159;9.8313239781
602705802;15;1;11.5;12.5;1;FE2;2OUEST;0.4992107947;953.0058;3.9143;32.30125;775;11.2;2.5257286443;6.3793051847
602706602;19;1;12.8;14.4;2;FE3;2OUEST;0.7409018297;964.2178;3.9006;22.855625;975;13.1;2.6246685922;6.8888852187
602707401;14;1;42.9;23.5;2;FE6;3OUEST;1.7561457111;969.0967;3.9873;23.434375;500;22.2;3.7819143201;14.302875924
602708003;13;1;11.9;12.5;2;FE2;2OUEST;0.5744417219;936.8703;3.9593;21.908125;650;11.2;2.5572273114;6.539411522
602708901;17;1;10.8;13.1;2;FE6;2OUEST;0.6839743676;923.9389;4.1267;15.665625;800;11.8;2.4680995315;6.0915152973
602709001;16;1;10.4;16.9;2;FE3;2OUEST;0.5417816943;917.3807;4.306;23.1525;800;15.6;2.4336133554;5.9224739636
602709703;9;1;12.7;15.9;2;FE5;2OUEST;0.6288098731;915.608;4.3684;14.416875;450;14.6;2.6173958328;6.8507609457
602709801;19;1;11.8;14.8;2;FE3;2OUEST;0.6678885626;916.5164;4.3886;23.29;950;13.5;2.5494451709;6.4996706796
602709802;16;1;24.7;18.5;2;FE5;2OUEST;1.1433689391;916.3865;4.4014;29.3225;800;17.2;3.2464909919;10.53970376
602709804;12;1;9.7;17.4;2;FE3;2OUEST;0.3201070713;916.9165;4.3993;37.861875;525;16.1;2.3702437415;5.618055394
602709901;16;1;10.9;15.3;2;FE2;2OUEST;0.5323701534;913.7201;4.4654;26.339375;800;14;2.4765384001;6.1332424473
602710004;13;1;30;22.1;1;FE6;2OUEST;1.1676290807;914.4915;4.2717;31.108125;600;20.8;3.4339872045;11.792268121
602710602;6;1;16.9;15.4;1;FE3;2OUEST;0.9547270603;907.4704;4.3191;7.998125;325;14.1;2.8848007128;8.3220751528
602711201;14;1;23.3;17.6;2;FE6;2OUEST;1.0865253759;914.3375;4.324;25.2825;700;16.3;3.1904763503;10.179139342
602711301;13;1;11.8;13.2;1;FE5;2OUEST;0.7284532666;908.3471;4.3982;11.85;575;11.9;2.5494451709;6.4996706796
602711501;17;1;9.2;12.5;2;FE5;3OUEST;0.6485163752;929.2798;4.1754;13.04;825;11.2;2.3223877203;5.3934847234
602711601;13;1;9.2;10.6;2;FE3;3OUEST;0.6253286221;931.5464;4.1398;11.05;650;9.3;2.3223877203;5.3934847234
